,Optimal Height,Optimal Value,Scenario
1038,[16. 16. 16. 16. 16. 16. 16.],29575108049.437263,3
1039,[9. 9. 9. 9. 9. 9. 9.],-2115706375.8741827,3
1040,[12. 12. 12. 12. 12. 12. 12.],11709685617.94593,3
1041,[13. 13. 13. 13. 13. 13. 13.],15382300977.203093,3
1042,[14. 14. 14. 14. 14. 14. 14.],17483214510.1222,3
1043,[14. 14. 14. 14. 14. 14. 14.],20080958102.869576,3
1044,[17. 17. 17. 17. 17. 17. 17.],35476933545.90576,3
1045,[11. 11. 11. 11. 11. 11. 11.],6484812110.601565,3
1046,[17. 17. 17. 17. 17. 17. 17.],34624380343.74362,3
1047,[14. 14. 14. 14. 14. 14. 14.],17477959838.584835,3
1048,[15. 15. 15. 15. 15. 15. 15.],22368225715.139717,3
1049,[11. 11. 11. 11. 11. 11. 11.],5684435013.474369,3
1050,[17. 17. 17. 17. 17. 17. 17.],39889538101.16497,3
1051,[16. 16. 16. 16. 16. 16. 16.],27031629324.296715,3
1052,[16. 16. 16. 16. 16. 16. 16.],28929637440.244854,3
1053,[16. 16. 16. 16. 16. 16. 16.],27664043122.088734,3
1054,[13. 13. 13. 13. 13. 13. 13.],14985174905.870045,3
1055,[18. 18. 18. 18. 18. 18. 18.],47650081186.37321,3
1056,[13. 13. 13. 13. 13. 13. 13.],14975987443.591831,3
