,Optimal Height,Optimal Value,Scenario
325,[11. 11. 11. 13. 15. 15. 15.],6260176083.912023,1
326,[12. 15. 15. 16. 20. 20. 23.],10601161149.315933,1
327,[11. 11. 12. 14. 14. 21. 21.],6527714953.482766,1
328,[12. 12. 12. 18. 18. 18. 22.],11127013763.45382,1
329,[10. 11. 11. 17. 17. 17. 17.],5534365694.818231,1
330,[11. 13. 16. 17. 17. 17. 17.],6302696097.178403,1
331,[10. 11. 15. 20. 20. 20. 21.],5132717355.898157,1
332,[10. 10. 11. 14. 18. 20. 22.],2983734002.5967407,1
333,[ 9.  9. 16. 16. 16. 16. 18.],822495982.9330881,1
334,[10. 12. 13. 14. 16. 26. 26.],7186571299.960727,1
335,[12. 12. 12. 16. 16. 24. 24.],11909485868.095316,1
336,[12. 12. 12. 18. 18. 18. 18.],11779553435.19178,1
337,[12. 12. 15. 15. 15. 18. 18.],12333743821.085531,1
338,[12. 12. 12. 16. 17. 17. 18.],9423114160.358925,1
339,[10. 13. 13. 14. 16. 16. 23.],3208038189.633711,1
340,[11. 13. 13. 16. 16. 21. 21.],7092372349.856298,1
341,[10. 12. 15. 15. 19. 19. 19.],4341126831.970595,1
342,[12. 15. 17. 17. 17. 19. 19.],9472272998.43859,1
343,[12. 12. 12. 17. 17. 17. 20.],10910931364.417528,1
344,[12. 14. 16. 16. 18. 18. 18.],10494165075.204193,1
345,[10. 10. 11. 16. 23. 23. 25.],5032988058.979699,1
346,[11. 12. 13. 22. 22. 22. 22.],11969996737.112364,1
347,[10. 12. 12. 14. 19. 19. 23.],3093587615.30852,1
348,[ 9. 13. 13. 13. 14. 14. 21.],1976939894.769621,1
349,[11. 12. 16. 16. 16. 16. 16.],6704216782.588605,1
350,[11. 13. 13. 13. 22. 22. 22.],9772151419.56151,1
351,[10. 12. 15. 17. 17. 17. 26.],5631589949.920518,1
352,[10. 14. 14. 14. 16. 26. 26.],8076263117.403981,1
353,[11. 11. 15. 15. 17. 17. 17.],8419565683.441318,1
354,[10. 12. 13. 13. 18. 18. 18.],4009025871.0370607,1
355,[10. 13. 15. 18. 18. 20. 20.],5391342208.672214,1
356,[11. 14. 14. 14. 19. 19. 20.],7063475865.221586,1
357,[11. 13. 16. 16. 26. 26. 26.],10488679018.40631,1
358,[11. 13. 13. 13. 14. 20. 22.],9160746463.360088,1
359,[10. 10. 12. 16. 16. 16. 19.],3668615494.3609495,1
360,[12. 12. 12. 16. 16. 17. 20.],12349830329.71787,1
361,[11. 11. 12. 12. 14. 19. 19.],8765335793.728168,1
362,[12. 12. 13. 16. 16. 24. 24.],12517179097.642313,1
363,[11. 11. 12. 14. 15. 17. 26.],8156441769.781779,1
364,[ 9. 13. 13. 13. 22. 22. 22.],4750137120.341861,1
365,[11. 12. 15. 16. 16. 16. 16.],6658942640.726232,1
366,[10. 12. 14. 16. 21. 21. 21.],5029343808.1254425,1
367,[10. 11. 11. 16. 19. 21. 21.],4107291583.492319,1
368,[12. 14. 16. 16. 16. 16. 17.],11203138504.163307,1
369,[12. 12. 12. 21. 21. 21. 21.],14471811769.18906,1
370,[11. 12. 15. 15. 16. 16. 23.],7206089635.182039,1
371,[11. 11. 16. 16. 16. 16. 18.],6042619161.730288,1
372,[11. 12. 13. 15. 16. 16. 25.],9007178883.72713,1
373,[ 9. 10. 14. 17. 17. 17. 17.],2351394356.471513,1
374,[12. 12. 12. 18. 18. 20. 20.],12459076353.735811,1
375,[12. 12. 14. 16. 16. 16. 16.],11554337381.299026,1
376,[10. 11. 13. 19. 19. 19. 19.],3803383043.158914,1
377,[10. 13. 13. 13. 19. 23. 23.],2883387974.027423,1
378,[10. 10. 12. 12. 19. 22. 22.],4531688427.724022,1
379,[11. 12. 14. 14. 14. 23. 24.],9014593154.018976,1
380,[13. 13. 13. 13. 16. 19. 22.],13514785759.60265,1
381,[10. 11. 13. 17. 17. 20. 20.],5704538858.020519,1
382,[11. 11. 14. 14. 14. 16. 23.],6138426481.704708,1
383,[11. 11. 11. 13. 13. 19. 19.],7435619556.175011,1
384,[10. 11. 14. 14. 14. 14. 15.],4626875133.584482,1
385,[10. 13. 13. 15. 16. 21. 21.],2692828935.548657,1
386,[10. 10. 11. 13. 13. 15. 15.],4231383905.0421276,1
387,[ 9. 14. 14. 18. 19. 19. 19.],1850293602.5605912,1
388,[13. 13. 14. 16. 19. 22. 22.],13109357761.013002,1
389,[10. 12. 14. 17. 17. 17. 22.],5360179551.133277,1
390,[11. 14. 14. 14. 14. 19. 19.],6743938353.4203415,1
391,[11. 11. 13. 15. 19. 19. 20.],7339140713.1834755,1
